health-href	Question_author_name	Question_title	question_description	answer_author_name	answer_description
https://www.bissoy.com/q/111111969206	Kamruzzaman1				
https://www.bissoy.com/q/1111111262117					
https://www.bissoy.com/q/111111968853		"ঘনঘন প্রস্রাব, করণীয় কি?"			
https://www.bissoy.com/q/111111970313					
https://www.bissoy.com/q/111111965949	IftekarulTawhan				
https://www.bissoy.com/q/111111970126					
https://www.bissoy.com/q/111111968464					
https://www.bissoy.com/q/111111972533					
https://www.bissoy.com/q/111111968997	RubelAhmedRocky				
https://www.bissoy.com/q/111111966825		আমার জ্বর জ্বর লাগছে একটু ঠান্ডা লাগছে তার সাথে শরীর একটু ব্যথা করছে?			
https://www.bissoy.com/q/111111969435		আমার তীব্র আলোতে চোখ খুলতে সমস্যা হয় কেন?			
https://www.bissoy.com/q/1111111262113		জনস্বাস্থ্য কি?			
https://www.bissoy.com/q/111111970081		বুক ধুকধুক করে?			
https://www.bissoy.com/q/111111972244			বয়স অনুযায়ী হাইট ঠিক না। এখন করনিয় কি?		
https://www.bissoy.com/q/111111971533	মোবনিআমিন				
https://www.bissoy.com/q/1111111262126	Jobedali				
https://www.bissoy.com/q/2982					
https://www.bissoy.com/q/111111971650				মুহাম্মাদজাহিদ	
https://www.bissoy.com/q/111111967211	মুসাব্বিরপ্রান্ত				
https://www.bissoy.com/q/111111970404					
https://www.bissoy.com/q/111111968520			কিডনি দান/ডোনেট করার আগে একজন ডোনারের কি কি টেস্ট করতে হয়?		
https://www.bissoy.com/q/2313	Anonymous				
https://www.bissoy.com/q/111111965104	আতিকমৃধা				
https://www.bissoy.com/q/111111968853				Eftekhar Naeem	
https://www.bissoy.com/q/111111965029		নাক কান গলা বিভাগ?			
https://www.bissoy.com/q/111111972657	Ahmedislamnoman				
https://www.bissoy.com/q/2885		জন্ডিসের ঔষধ কি?			
https://www.bissoy.com/q/111111968783			"HBs Ag positive & HBe Ag positive রোগীর বর্তমানে টাইফয়েড জ্বর। পাশাপাশি প্রচুর বমির বেগ এবং টোটালে খাবার খেতে পারে না। ঘাড়ের রগ ছিড়ে যাচ্ছে এমন লাগছে।
এই অবস্থায় ঢাকা কোন হসপিটাল নিতে পারি?  যদি বলেন খুব উপকৃত হবো।"		
https://www.bissoy.com/q/111111966075					
https://www.bissoy.com/q/111111966971	রফিকআহমেদ				
https://www.bissoy.com/q/3005	Sumya Akter				
https://www.bissoy.com/q/111111969302	Dipesh				
https://www.bissoy.com/q/111111968641			আমার মায়ের গলা চুলকাচ্ছে  গলা খুশখুশ করছে এখন কি কি ওষুধ কেমন করে খাওয়া লাগবে জানান দয়া করে		
https://www.bissoy.com/q/111111967159		কানের পরদা ফেটে গেছে?			
https://www.bissoy.com/q/111111972718					
https://www.bissoy.com/q/111111968552	Habibah				
https://www.bissoy.com/q/3296	Sumya Akter				
https://www.bissoy.com/q/111111972362					
https://www.bissoy.com/q/111111966520		কি করলে বা কি খেলে মোটা হবো আমাকে একটু বলেন দয়া করে?			
https://www.bissoy.com/q/111111966384	Sheikh Arif				
https://www.bissoy.com/q/3047		রক্তে চিনির মাত্রা বেড়ে যাবার লক্ষন কি কি?			
https://www.bissoy.com/q/111111969620	আজম				
https://www.bissoy.com/q/1111111262110	Jobedali				
